name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
guance,,https://cncf.io,logos/368b0d313da4b519552e740d6969c451e7d01ce362b6e77dee778238d95781e1.svg,,,,,,,,,对地观测领域,,,,,,,,,,,,Category 1,领域算子(141),,,,,,,,,,,,,,,,,,,,,,,,
Hadoop,,https://cncf.io,logos/ede94efa8ce731a37b4313cb8edf6585c3d45e9a86757266cb3886ff6c7bb96c.svg,,,,,,,,,Hadoop,,,,,,,,,,,,Category 4,大数据引擎,,,,,,,,,,,,,,,,,,,,,,,,
InfluxDB,,https://cncf.io,logos/242002b88c6ae46850a36e63bdec81daceb82c857c1b3cc8771d3e4da961eb65.svg,,,,,,,,,InfluxDB,,,,,,,,,,,,Category 4,大数据引擎,,,,,,,,,,,,,,,,,,,,,,,,
InstDB,,https://cncf.io,logos/e10feee92ede73befaf5e7d034dd3bf962992832d08d59fbcf7b47bedd9b7ce6.svg,,,,,,,,,InstDB,,,,,,,,,,,,Category 2,发布共享,,,,,,,,,,,,,,,,,,,,,,,,
iSpace,,https://cncf.io,,,,,,,,,,空间领域,,,,,,,,,,,,Category 1,领域软件,,,,,,,,,,,,,,,,,,,,,,,,
jiaoben,,https://cncf.io,logos/8061231d542882155416d4cfbea47722264bda16ac0543106d9a3935c55b6569.svg,,,,,,,,,jiaoben,,,,,,,,,,,,Category 2,通用算子,,,,,,,,,,,,,,,,,,,,,,,,
jichu,,https://cncf.io,logos/a4e91631234305816030f801dce601683b3dbd4e07b48ede4a4cbdac4086e222.svg,,,,,,,,,jichu,,,,,,,,,,,,Category 2,通用算子,,,,,,,,,,,,,,,,,,,,,,,,
jiqixuexi,,https://cncf.io,logos/ea40c6429257e4d054f933fb9b75a3dc89c8cea562711591a247987094496c1d.svg,,,,,,,,,jiqixuexi,,,,,,,,,,,,Category 2,通用算子,,,,,,,,,,,,,,,,,,,,,,,,
Jupyter Notebook,,https://cncf.io,logos/3e4c8a4356a469f9a7a9fe1c76c7a2b2723365cb2bcdf4bd6b952da8286a9a24.svg,,,,,,,,,Juper Notebook,,,,,,,,,,,,Category 2,处理分析,,,,,,,,,,,,,,,,,,,,,,,,
keshihua,,https://cncf.io,logos/7f4a9790a950f28a9056e50b874af218bd5489b30c76f6bfbdd0390e49af8c72.svg,,,,,,,,,keshihua,,,,,,,,,,,,Category 2,通用算子,,,,,,,,,,,,,,,,,,,,,,,,
Kibana,,https://cncf.io,logos/6560323ebd6efd8ecd43c67a8882dfc34bce068f8b179b9653b4eb0d8d283822.svg,,,,,,,,,Kibana,,,,,,,,,,,,Category 2,处理分析,,,,,,,,,,,,,,,,,,,,,,,,
kongjian,,https://cncf.io,logos/2453f5192a4020f126ccde67e8c52c1803636ccd688cb1173dfa6f4a22bebbbb.svg,,,,,,,,,空间领域,,,,,,,,,,,,Category 1,领域算子(141),,,,,,,,,,,,,,,,,,,,,,,,
LakeFS,,https://cncf.io,logos/32399739cb7751cef249eb236061f4335fac71e340c3d05a1dc53b038d6b4909.svg,,,,,,,,,LakeFS,,,,,,,,,,,,Category 4,大数据引擎,,,,,,,,,,,,,,,,,,,,,,,,
liuchuli,,https://cncf.io,logos/e1f506dbd172a47aa141b00a566d59340b1ae1e1ac98c8037447051968ebddba.svg,,,,,,,,,liuchuli,,,,,,,,,,,,Category 2,通用算子,,,,,,,,,,,,,,,,,,,,,,,,
lynx,,https://cncf.io,logos/13fcd5b3200206f4667031b273f74665ab75d76943f8dbd689ccf0a1f41c875b.svg,,,,,,,,,lynx,,,,,,,,,,,,Category 3,基础框架,,,,,,,,,,,,,,,,,,,,,,,,
MariaDB,,https://cncf.io,logos/75840b70369deeffb3ad56aad9bb92905f56c02f8b91273eb856b76b488d1322.svg,,,,,,,,,MariaDB,,,,,,,,,,,,Category 4,大数据引擎,,,,,,,,,,,,,,,,,,,,,,,,
MinIO,,https://cncf.io,logos/924fc5aced0a8cf72df5fdd6b2e0011a3095343f02b9e5be9b29b73402bfc635.svg,,,,,,,,,MinIO,,,,,,,,,,,,Category 4,大数据引擎,,,,,,,,,,,,,,,,,,,,,,,,
MongoDB,,https://cncf.io,logos/d951ee348498197c3b1f5c3e486fb1bd687ea3bf3f45573b8195b76908ff0adc.svg,,,,,,,,,MongoDB,,,,,,,,,,,,Category 4,大数据引擎,,,,,,,,,,,,,,,,,,,,,,,,
Neo4j,,https://cncf.io,logos/db2d7bb4ee6e1ccc9c6721a716e59626cc4b472533c6040aaf44bbbb69769801.svg,,,,,,,,,Neo4j,,,,,,,,,,,,Category 4,大数据引擎,,,,,,,,,,,,,,,,,,,,,,,,
NGINX,,https://cncf.io,logos/4af4dc91afe7d80cf4f33c3a7be82c1b4fb7a5ae43ff25943336ec601e7b31f1.svg,,,,,,,,,NGINX,,,,,,,,,,,,Category 2,支撑管理,,,,,,,,,,,,,,,,,,,,,,,,
NginxProxy Manager,,https://cncf.io,logos/5e85b93b9eeb0314fdf7c08df3100f30dbeab7a4c77a1b845f27866782d514a6.svg,,,,,,,,,NginxProxy Manager,,,,,,,,,,,,Category 2,支撑管理,,,,,,,,,,,,,,,,,,,,,,,,
nongye,,https://cncf.io,logos/138d8594f620d6da5b61962d222b85da0970509bcd901ab83e5b21425bce3bac.svg,,,,,,,,,农业领域,,,,,,,,,,,,Category 1,领域算子(141),,,,,,,,,,,,,,,,,,,,,,,,
OnlyOffice,,https://cncf.io,logos/94057d2a0dccaa85c2d9f6caac3e51b7325174daf1c2f56e6fe26c2501078e04.svg,,,,,,,,,OnlyOffice,,,,,,,,,,,,Category 2,处理分析,,,,,,,,,,,,,,,,,,,,,,,,
PandaDB,,https://cncf.io,logos/16bff660d2df03e9ae2804b7727081f4cf2a8515ea7bf90897504c652b270015.svg,,,,,,,,,PandaDB,,,,,,,,,,,,Category 3,基础框架,,,,,,,,,,,,,,,,,,,,,,,,
PostgreSQL,,https://cncf.io,logos/8855ae2f4cd5c160d57660ae28bf2db6d2a00cd6ea1a1975514f8b46e240be89.svg,,,,,,,,,PostgreSQL,,,,,,,,,,,,Category 4,大数据引擎,,,,,,,,,,,,,,,,,,,,,,,,
qingxi,,https://cncf.io,logos/5fe4bea2fd73fce1647dcc60c7349d46f0d5bf92d04ef2eab49c5cdb541942f7.svg,,,,,,,,,qingxi,,,,,,,,,,,,Category 2,通用算子,,,,,,,,,,,,,,,,,,,,,,,,
qingzang,,https://cncf.io,logos/db9390810d7080e2713e2175dd8b84b61411c7eb157c406e6d636df489abded9.svg,,,,,,,,,青藏高原领域,,,,,,,,,,,,Category 1,领域算子(141),,,,,,,,,,,,,,,,,,,,,,,,
QuestDB,,https://cncf.io,logos/d5bad161ed898e30d034648e90abbc37952880d3ec8d89f3259e29f84a091c32.svg,,,,,,,,,QuestDB,,,,,,,,,,,,Category 4,大数据引擎,,,,,,,,,,,,,,,,,,,,,,,,
RabiitMQ,,https://cncf.io,logos/ac566faa8160faaba8ec4197441a7bb71aa41d2fc8fc124694fd839c0dc1ef05.svg,,,,,,,,,RabiitMQ,,,,,,,,,,,,Category 4,大数据引擎,,,,,,,,,,,,,,,,,,,,,,,,
Redis,,https://cncf.io,logos/c5cd8c1d95b8b7a3f6e354ed5d36fa8c771ae258723bb0a0c925a7137f0d0310.svg,,,,,,,,,Redis,,,,,,,,,,,,Category 4,大数据引擎,,,,,,,,,,,,,,,,,,,,,,,,
SEEK,,https://cncf.io,logos/723e0e28542516c406f3697d31bccdc300d1867a6996b78baa985298b6d157af.svg,,,,,,,,,SEEK,,,,,,,,,,,,Category 2,发布共享,,,,,,,,,,,,,,,,,,,,,,,,
SemPub,,https://cncf.io,logos/4e5b160f44536a0bddfb9a490a3858c3671da853ef00f3133193e8b6bc212a33.svg,,,,,,,,,SemPub,,,,,,,,,,,,Category 2,发布共享,,,,,,,,,,,,,,,,,,,,,,,,
SemStore,,https://cncf.io,logos/7cfd1f1ea4fa9d9f8b003772c15f875cf8681e3447ab46194efd866f5aa7be07.svg,,,,,,,,,SemStore,,,,,,,,,,,,Category 2,汇聚管理,,,,,,,,,,,,,,,,,,,,,,,,
sftpgo,,https://cncf.io,logos/23346ef43be7b3e7d7f20ef5fae0a56627f94bab1a4dbd93268a45b627d1fd92.svg,,,,,,,,,sftpgo,,,,,,,,,,,,Category 4,大数据引擎,,,,,,,,,,,,,,,,,,,,,,,,
shengtai,,https://cncf.io,logos/d9dadc7fe9d15414e0f4d453814a9e176b8dc2209feeecb44a3c234c3cb34353.svg,,,,,,,,,生态领域,,,,,,,,,,,,Category 1,领域算子(141),,,,,,,,,,,,,,,,,,,,,,,,
shengwu,,https://cncf.io,logos/9003000d1b6c8923e06abfa573f0ce150d5ec1787b64c472ab05d42243b6533c.svg,,,,,,,,,生物信息领域,,,,,,,,,,,,Category 1,领域算子(141),,,,,,,,,,,,,,,,,,,,,,,,
Spark,,https://cncf.io,logos/20398f9e283a074fae662d85d88de37bf1501ac001a9b65e36f10bd7329944c1.svg,,,,,,,,,Spark,,,,,,,,,,,,Category 4,大数据引擎,,,,,,,,,,,,,,,,,,,,,,,,
tianwen,,https://cncf.io,logos/fe80fb164fcc5c36bc5605ecfe2ecfc7f5b57a1c9044cde576007e17f4dbe444.svg,,,,,,,,,天文领域,,,,,,,,,,,,Category 1,领域算子(141),,,,,,,,,,,,,,,,,,,,,,,,
UJCMS,,https://cncf.io,logos/0a721508aeacc91a9b852009cafb1f78c48bedcc8e50a8c74edca099ee7c69f6.svg,,,,,,,,,UJCMS,,,,,,,,,,,,Category 2,发布共享,,,,,,,,,,,,,,,,,,,,,,,,
wenjianjiaohu,,https://cncf.io,logos/3c34ca7b4edd91b3e51343fcb7f4b4b4a0d80de41e8720d3afe6d64f6d4a2912.svg,,,,,,,,,wenjianjiaohu,,,,,,,,,,,,Category 2,通用算子,,,,,,,,,,,,,,,,,,,,,,,,
Zeppelin,,https://cncf.io,logos/13fe49dfe47b2ed1aa29db1630cdc39f938385b6179a3386e9e2a9755f79887b.svg,,,,,,,,,Zeppelin,,,,,,,,,,,,Category 2,处理分析,,,,,,,,,,,,,,,,,,,,,,,,
πFlow,,https://cncf.io,logos/31dc2d1a08d52db5aa8e2536f506826570c501ca098783cb444ffe3a594eb638.svg,,,,,,,,,πFlow,,,,,,,,,,,,Category 3,基础框架,,,,,,,,,,,,,,,,,,,,,,,,
